id,RevisionId,AllocationId,TradeTypeName,SecurityId,SecurityType,Name,Ticker,CUSIP,ISIN,TradeDate,SettleDate,Quantity,Price,TradeFXRate,Principal,Interest,TotalCash,AllocationQTY,AllocationPrincipal,AllocationInterest,AllocationFees,AllocationCash,PortfolioName,CustodianName,StrategyName,Strategy1Name,Strategy2Name,Counterparty,AllocationRule,IsCustomAllocation,Year
1,1,ALLOC00000,Sell,SECID0000,Mortgage Bond,Maple Grove Apartments,TKR000,CUSIP00000,ISIN000000,2024-07-20,2024-07-23,16287.22,371.51,0.9907,6050865.1,13.68,6050863.62,16287.22,6050865.1,13.68,15.16,6050863.62,Alpha Real Estate Fund,BNY Mellon,Opportunistic,Value Add,Industrial,Citi,Pro-Rata,True,2024
2,1,ALLOC00001,Short,SECID0001,Mortgage Bond,Lakeside Retail Center,TKR001,CUSIP00001,ISIN000001,2023-04-17,2023-04-20,19396.33,417.0,1.0526,8088269.61,423.48,8088554.37,19396.33,8088269.61,423.48,138.72,8088554.37,Beacon Property Trust,BNY Mellon,Opportunistic,Value Add,Industrial,Morgan Stanley,Pro-Rata,False,2023
3,1,ALLOC00002,Sell,SECID0002,REIT Equity,Lakeside Retail Center,TKR002,CUSIP00002,ISIN000002,2024-03-13,2024-03-15,18900.67,443.33,0.9449,8379234.03,474.05,8379523.07,18900.67,8379234.03,474.05,185.01,8379523.07,Beacon Property Trust,BNY Mellon,Opportunistic,Core Plus,Mixed Use,Citi,Custom,False,2024
4,1,ALLOC00003,Cover,SECID0003,Mortgage Bond,Harbor Plaza,TKR003,CUSIP00003,ISIN000003,2023-02-12,2023-02-13,18950.15,67.5,1.0437,1279135.12,217.58,1279168.3,18950.15,1279135.12,217.58,184.4,1279168.3,Beacon Property Trust,Northern Trust,Opportunistic,Opportunistic,Industrial,JPMorgan,Equal Weight,False,2023
5,1,ALLOC00004,Cover,SECID0004,Real Estate Debt,Skyline Tower,TKR004,CUSIP00004,ISIN000004,2024-03-14,2024-03-15,12041.65,497.65,0.9566,5992527.12,338.59,5992779.14,12041.65,5992527.12,338.59,86.57,5992779.14,Cedar Income Partners,BNY Mellon,Opportunistic,Core,Commercial,JPMorgan,Equal Weight,False,2024
6,1,ALLOC00005,Cover,SECID0005,Property Direct,Harbor Plaza,TKR005,CUSIP00005,ISIN000005,2023-01-16,2023-01-17,17441.73,487.46,0.9795,8502145.71,106.11,8502172.04,17441.73,8502145.71,106.11,79.78,8502172.04,Alpha Real Estate Fund,Northern Trust,Core Plus,Core Plus,Industrial,Morgan Stanley,Custom,False,2023
7,1,ALLOC00006,Cover,SECID0006,Property Direct,Maple Grove Apartments,TKR006,CUSIP00006,ISIN000006,2025-11-26,2025-11-29,14220.36,406.83,0.9011,5785269.06,252.27,5785442.05,14220.36,5785269.06,252.27,79.28,5785442.05,Evergreen REIT Fund,State Street,Opportunistic,Value Add,Commercial,Citi,Custom,False,2025
8,1,ALLOC00007,Cover,SECID0007,Property Direct,Cedar Heights Residences,TKR007,CUSIP00007,ISIN000007,2024-03-03,2024-03-05,14234.09,222.14,0.9521,3161960.75,156.63,3161921.57,14234.09,3161960.75,156.63,195.81,3161921.57,Delta Urban Holdings,BNY Mellon,Value Add,Value Add,Industrial,Barclays,Pro-Rata,False,2024
9,1,ALLOC00008,Buy,SECID0008,Real Estate Debt,Maple Grove Apartments,TKR008,CUSIP00008,ISIN000008,2025-08-25,2025-08-26,11157.93,462.2,1.0273,5157195.25,219.99,5157373.4,11157.93,5157195.25,219.99,41.84,5157373.4,Alpha Real Estate Fund,BNY Mellon,Value Add,Opportunistic,Mixed Use,Barclays,Pro-Rata,False,2025
10,1,ALLOC00009,Short,SECID0009,REIT Equity,Union Square Offices,TKR009,CUSIP00009,ISIN000009,2023-08-12,2023-08-15,11261.0,234.3,0.9225,2638452.3,359.88,2638778.31,11261.0,2638452.3,359.88,33.87,2638778.31,Cedar Income Partners,State Street,Opportunistic,Value Add,Commercial,Citi,Pro-Rata,True,2023
11,1,ALLOC00010,Cover,SECID0010,Property Direct,Harbor Plaza,TKR010,CUSIP00010,ISIN000010,2024-02-08,2024-02-10,13570.48,444.81,0.9052,6036285.21,340.66,6036488.15,13570.48,6036285.21,340.66,137.72,6036488.15,Cedar Income Partners,State Street,Core Plus,Core Plus,Mixed Use,Barclays,Custom,False,2024
