AsOfDate,OpenDate,CloseDate,ShortName,PortfolioName,StrategyRefShortName,Strategy1RefShortName,Strategy2RefShortName,CustodianName,DirectionName,SecurityId,SecurityTypeName,SecName,StartQty,Qty,StartPrice,Price,StartFXRate,FXRate,MV_Local,MV_Base,PL_DTD,PL_QTD,PL_MTD,PL_YTD,Year
2025-02-01,2022-12-05,,SEC000,Delta Urban Holdings,Core Plus,Core Plus,Residential,State Street,Long,SECID0000,REIT Equity,Union Square Offices,11937.33,12501.9,341.58,412.24,0.9174,0.9174,5153783.26,4728080.76,2483.57,-2765.29,6476.89,121842.39,2025
2025-11-23,2024-04-14,,SEC001,Delta Urban Holdings,Value Add,Value Add,Commercial,State Street,Short,SECID0001,REIT Equity,Harbor Plaza,23011.24,21990.42,435.96,502.89,0.9319,0.9319,11058762.31,10305660.6,-1170.77,-4682.74,15792.13,61394.78,2025
2024-02-12,2021-08-29,,SEC002,Alpha Real Estate Fund,Value Add,Value Add,Commercial,Northern Trust,Long,SECID0002,REIT Equity,Union Square Offices,13961.52,12686.69,235.12,211.59,1.0845,1.0845,2684376.74,2911206.57,-2347.37,10851.2,-4634.18,-37258.38,2024
2024-02-28,2023-06-05,,SEC003,Cedar Income Partners,Core Plus,Opportunistic,Commercial,State Street,Short,SECID0003,Mortgage Bond,Riverside Logistics Park,19626.19,19443.31,418.71,383.15,0.9711,0.9711,7449704.23,7234407.78,1209.81,-38265.6,-17249.18,-44983.0,2024
2025-12-18,2025-04-08,,SEC004,Cedar Income Partners,Core Plus,Opportunistic,Industrial,State Street,Short,SECID0004,Mortgage Bond,Lakeside Retail Center,42299.74,44634.68,122.23,105.46,0.9631,0.9631,4707173.35,4533478.65,-5064.16,6284.95,-9080.24,-112984.3,2025
2023-05-05,2022-07-27,,SEC005,Beacon Property Trust,Core,Core Plus,Residential,State Street,Long,SECID0005,Real Estate Debt,Granite Business Center,27409.89,28764.01,219.93,238.28,0.9724,0.9724,6853888.3,6664720.98,7328.24,-4515.53,675.28,-113979.85,2023
2025-02-13,2023-12-21,,SEC006,Alpha Real Estate Fund,Value Add,Value Add,Residential,BNY Mellon,Short,SECID0006,Real Estate Debt,Lakeside Retail Center,23934.44,22744.49,281.08,344.88,1.0361,1.0361,7844119.71,8127292.43,-2721.91,2218.45,-11509.94,30055.84,2025
2023-12-24,2023-02-28,,SEC007,Evergreen REIT Fund,Opportunistic,Opportunistic,Industrial,State Street,Long,SECID0007,Property Direct,Lakeside Retail Center,38336.15,38395.05,62.14,68.36,1.0683,1.0683,2624685.62,2803951.65,-3003.19,-5833.87,-6017.07,148182.25,2023
2023-02-12,2020-09-14,,SEC008,Alpha Real Estate Fund,Opportunistic,Opportunistic,Mixed Use,Northern Trust,Long,SECID0008,Property Direct,Granite Business Center,12733.16,12073.26,288.0,253.87,1.0464,1.0464,3065038.52,3207256.31,-67.49,-21154.22,8225.45,-97667.49,2023
2023-09-25,2021-08-09,,SEC009,Delta Urban Holdings,Core Plus,Opportunistic,Commercial,State Street,Short,SECID0009,REIT Equity,Union Square Offices,35934.5,35208.57,339.13,338.92,1.0799,1.0799,11932888.54,12886326.33,1044.32,-39193.4,-13281.86,15748.9,2023
2025-04-01,2024-12-20,,SEC010,Cedar Income Partners,Core,Opportunistic,Commercial,Northern Trust,Short,SECID0010,Real Estate Debt,Lakeside Retail Center,3884.81,3548.7,25.39,24.94,1.0028,1.0028,88504.58,88752.39,3692.33,3427.37,-1156.48,-24088.3,2025
2024-04-04,2023-11-27,,SEC011,Alpha Real Estate Fund,Core Plus,Core,Industrial,State Street,Long,SECID0011,Real Estate Debt,Union Square Offices,18360.58,18034.14,433.28,377.68,1.0307,1.0307,6811134.0,7020235.81,-7392.61,-14396.88,-4606.39,84569.78,2024
2025-08-05,2024-04-30,2026-04-08,SEC012,Alpha Real Estate Fund,Core Plus,Core Plus,Commercial,State Street,Short,SECID0012,Mortgage Bond,Lakeside Retail Center,13240.52,14361.37,227.13,271.32,1.0101,1.0101,3896526.91,3935881.83,1718.09,-35260.8,3240.84,-30806.58,2025
2023-07-02,2022-12-16,,SEC013,Evergreen REIT Fund,Core,Opportunistic,Commercial,BNY Mellon,Long,SECID0013,REIT Equity,Skyline Tower,49280.13,46965.97,394.19,406.81,0.9846,0.9846,19106226.26,18811990.38,-3384.61,12233.53,10310.0,74502.41,2023
2025-06-02,2025-03-13,,SEC014,Beacon Property Trust,Core Plus,Core Plus,Commercial,BNY Mellon,Long,SECID0014,Real Estate Debt,Skyline Tower,25639.67,27448.39,87.14,107.56,0.916,0.916,2952348.83,2704351.53,-4196.09,-6184.25,3312.63,78043.61,2025
2025-02-14,2023-03-14,,SEC015,Delta Urban Holdings,Opportunistic,Value Add,Mixed Use,BNY Mellon,Long,SECID0015,REIT Equity,Lakeside Retail Center,26616.35,28930.41,110.09,125.11,0.9477,0.9477,3619483.6,3430184.61,-2395.87,-3713.18,-11063.35,-95696.53,2025
2025-10-04,2025-06-21,,SEC016,Cedar Income Partners,Opportunistic,Core,Industrial,Northern Trust,Long,SECID0016,Property Direct,Harbor Plaza,25788.35,23892.68,181.01,158.84,0.9489,0.9489,3795113.29,3601183.0,4062.63,27124.8,-720.1,80282.63,2025
2023-05-04,2022-12-16,,SEC017,Cedar Income Partners,Core,Value Add,Residential,State Street,Short,SECID0017,Property Direct,Skyline Tower,8616.95,8240.83,113.21,111.76,1.0375,1.0375,920995.16,955532.48,1808.18,-12902.4,3613.96,123042.93,2023
2023-06-25,2023-01-13,,SEC018,Alpha Real Estate Fund,Opportunistic,Core Plus,Industrial,Northern Trust,Long,SECID0018,Mortgage Bond,Maple Grove Apartments,13835.81,14503.34,280.32,286.23,0.9019,0.9019,4151291.01,3744049.36,-179.13,31292.87,-26197.45,65752.2,2023
2023-05-12,2021-01-17,,SEC019,Evergreen REIT Fund,Core,Opportunistic,Commercial,State Street,Long,SECID0019,Mortgage Bond,Skyline Tower,2954.85,2870.82,344.21,384.4,0.9707,0.9707,1103543.21,1071209.39,435.24,-5980.15,917.61,-159005.51,2023
2023-12-11,2021-09-01,,SEC020,Alpha Real Estate Fund,Core,Core Plus,Mixed Use,State Street,Long,SECID0020,Mortgage Bond,Cedar Heights Residences,40309.52,43244.57,407.27,389.64,1.0575,1.0575,16849814.25,17818678.57,-1098.36,7142.25,14778.94,-41461.62,2023
2024-04-08,2024-02-14,,SEC021,Evergreen REIT Fund,Core,Value Add,Residential,State Street,Short,SECID0021,Real Estate Debt,Riverside Logistics Park,20524.83,19616.0,44.02,51.03,0.9702,0.9702,1001004.48,971174.55,-4042.47,-10035.14,9154.02,26300.09,2024
2023-02-20,2021-11-03,,SEC022,Beacon Property Trust,Value Add,Core Plus,Mixed Use,State Street,Long,SECID0022,Property Direct,Granite Business Center,39534.98,39032.05,492.28,441.21,1.0799,1.0799,17221330.78,18597315.11,-2648.8,10265.35,970.78,77491.6,2023
